epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3142,1.39614,2.8987,1.20422,0.45548,0.36905,0.3547,0.12661,2.17609,2.26173,1.96755,0.000663121,0.000663121,0.000663121
2,108.157,1.55773,2.06657,1.34677,0.58826,0.39286,0.39042,0.14536,2.2731,2.36345,2.04347,0.0012859,0.0012859,0.0012859
3,157.286,1.63179,1.75373,1.42148,0.52186,0.53095,0.49687,0.19741,2.04796,1.70708,1.80061,0.00186469,0.00186469,0.00186469
4,206.992,1.58154,1.61517,1.35918,0.74258,0.39524,0.46781,0.17995,2.15964,2.10851,1.85456,0.001802,0.001802,0.001802
5,257.05,1.50715,1.50664,1.33557,0.66531,0.51905,0.57387,0.237,1.97461,1.69226,1.74734,0.001736,0.001736,0.001736
6,306.075,1.4524,1.40515,1.29116,0.66909,0.49286,0.59589,0.24048,2.04937,1.48885,1.77142,0.00167,0.00167,0.00167
7,356.358,1.43155,1.35106,1.2845,0.69739,0.58165,0.64255,0.24975,2.09752,1.53415,1.80502,0.001604,0.001604,0.001604
8,406.159,1.39736,1.31577,1.25467,0.73128,0.64146,0.68115,0.29291,1.95483,1.46738,1.67019,0.001538,0.001538,0.001538
9,454.394,1.36757,1.30608,1.23584,0.67451,0.58571,0.63009,0.24623,2.10197,1.59357,1.7576,0.001472,0.001472,0.001472
10,503.077,1.35701,1.27881,1.23146,0.74782,0.66905,0.72714,0.30448,1.97602,1.33237,1.68276,0.001406,0.001406,0.001406
11,552.65,1.31647,1.2225,1.21469,0.72284,0.60476,0.65318,0.28499,1.93291,1.57567,1.64567,0.00134,0.00134,0.00134
12,601.75,1.31088,1.18393,1.19764,0.76212,0.61429,0.69148,0.28524,2.01013,1.34708,1.67562,0.001274,0.001274,0.001274
13,649.879,1.30451,1.16372,1.20085,0.76354,0.70476,0.75535,0.34774,1.86811,1.27558,1.60676,0.001208,0.001208,0.001208
14,698.941,1.28704,1.16125,1.19296,0.81605,0.6119,0.72154,0.31837,1.92185,1.49519,1.6211,0.001142,0.001142,0.001142
15,748.077,1.26317,1.13603,1.17376,0.70995,0.67143,0.68857,0.27341,1.99351,1.38623,1.62942,0.001076,0.001076,0.001076
16,797.708,1.23851,1.12065,1.17125,0.71603,0.60037,0.63457,0.25564,2.09011,1.37832,1.73071,0.00101,0.00101,0.00101
17,847.077,1.20841,1.11412,1.15129,0.71644,0.65476,0.72045,0.31182,1.96195,1.28656,1.61533,0.000944,0.000944,0.000944
18,896.621,1.19179,1.06343,1.12986,0.75752,0.69286,0.75246,0.32301,1.98247,1.17548,1.65609,0.000878,0.000878,0.000878
19,945.66,1.17835,1.06038,1.13591,0.76192,0.6881,0.74419,0.33125,2.0044,1.2507,1.67308,0.000812,0.000812,0.000812
20,995.599,1.15517,1.03921,1.12297,0.79607,0.70952,0.78161,0.35236,1.89587,1.14494,1.60442,0.000746,0.000746,0.000746
21,1046.4,1.11551,0.94776,1.08562,0.83733,0.71084,0.79611,0.35239,1.92344,1.19333,1.61672,0.00068,0.00068,0.00068
22,1094.48,1.08783,0.9334,1.07822,0.86707,0.71429,0.81643,0.39134,1.81321,1.14403,1.56801,0.000614,0.000614,0.000614
23,1141.46,1.06229,0.90583,1.0554,0.83416,0.7119,0.78913,0.36471,1.88716,1.14749,1.59812,0.000548,0.000548,0.000548
24,1189.26,1.04891,0.90177,1.05981,0.79571,0.68333,0.76096,0.3431,1.96631,1.19617,1.6154,0.000482,0.000482,0.000482
25,1235.8,1.0329,0.87823,1.04482,0.8379,0.72615,0.80824,0.38247,1.88399,1.20053,1.56801,0.000416,0.000416,0.000416
26,1282.91,0.9964,0.84769,1.03357,0.86561,0.71429,0.80331,0.3706,1.88567,1.13692,1.57058,0.00035,0.00035,0.00035
27,1330.48,0.99778,0.85488,1.02263,0.8132,0.75952,0.80587,0.37481,1.81198,1.21448,1.51941,0.000284,0.000284,0.000284
28,1377.37,0.98207,0.82911,1.01549,0.85343,0.75238,0.82093,0.39103,1.8094,1.09754,1.52504,0.000218,0.000218,0.000218
29,1424.71,0.96729,0.83165,1.01301,0.85546,0.71905,0.81928,0.37426,1.8924,1.09948,1.58054,0.000152,0.000152,0.000152
30,1471.35,0.9612,0.81903,1.01439,0.85933,0.75635,0.83035,0.3836,1.83343,1.08035,1.53266,8.6e-05,8.6e-05,8.6e-05
